Song,Artist,First_Week
I CAN'T STOP ME (English Ver.),TWICE,2020-12-11
Breathe,Little Mix,2020-12-11
If You Want My Love,Little Mix,2020-12-11
Rendezvous,Little Mix,2020-12-11
Made in the USA,Demi Lovato,2020-12-18
High School Sweethearts,Melanie Martinez,2020-12-18
Bing Bing,Red Velvet,2020-12-18
Black on Black,NCT 2018,2020-12-18
뜨거운 감자 (Hot Potato),N.Flying,2020-12-18
Give Your Heart a Break,Demi Lovato,2020-12-18
Tag Me (@Me),Weekly,2020-12-18
evermore,Taylor Swift Bon Iver,2020-12-18
coney island,Taylor Swift The National,2020-12-18
Christmas Tree Farm,Taylor Swift,2020-12-18
right where you left me,Taylor Swift,2021-01-08
Telephone,Lady Gaga,2021-01-08
MIROH,Stray Kids,2021-01-08
Me Gustas Tu,GFRIEND,2021-01-08
it's time to go,Taylor Swift,2021-01-08
Like a Fool,TWICE,2021-01-08
Hear the Sea,Red Velvet,2021-01-08
잘 하고 있어 Grow Up,Stray Kids,2021-01-08
Last Kiss,Taylor Swift,2021-01-08
MIXTAPE#2,Stray Kids,2021-01-08
pov,Ariana Grande,2021-01-08
Alejandro,Lady Gaga,2021-01-08
State of Grace - Acoustic Version,Taylor Swift,2021-01-08
SAY YES,TWICE,2021-01-08
The Best Day,Taylor Swift,2021-01-08
Walkin’ in Time,THE BOYZ,2021-01-08
Head Above Water,Avril Lavigne,2021-01-08
Ice Cream,TWICE,2021-01-08
Memoria (Korean Ver.),GFRIEND,2021-01-08
Touch - Acoustic,Little Mix,2021-01-08
Candy,Red Velvet,2021-01-08
Teardrops on My Guitar - Radio Single Remix,Taylor Swift,2021-01-08
Forever & Always - Piano Version,Taylor Swift,2021-01-08
Clarity,Zedd,2021-01-08
Live While We're Young,One Direction,2021-01-08
Miss Americana & the Heartbreak Prince,Taylor Swift,2021-01-15
My Second Date,Red Velvet,2021-01-15
I Think He Knows,Taylor Swift,2021-01-15
BRING IT BACK,TWICE (트와이스),2021-01-15
it’s time to go - bonus track,Taylor Swift,2021-01-15
right where you left me - bonus track,Taylor Swift,2021-01-15
the lakes - bonus track,Taylor Swift,2021-01-15
safety net (feat. Ty Dolla $ign),Ariana Grande,2021-01-22
Alphabet Boy,Melanie Martinez,2021-01-22
Don’t Need Your Love,NCT DREAM HRVY,2021-01-22
Feel Good (SECRET CODE),프로미스나인,2021-01-22
Campfire,Red Velvet,2021-01-22
Cool World,Red Velvet,2021-01-22
positions,Ariana Grande,2021-01-22
Black Mamba,aespa,2021-01-22
Daylight,Taylor Swift,2021-01-22
This Love,Taylor Swift,2021-01-22
Fetish (feat. Gucci Mane),Selena Gomez,2021-01-22
You Are in Love,Taylor Swift,2021-01-22
해장국 (Hero's Soup),Stray Kids (스트레이 키즈),2021-01-22
First Time,Red Velvet,2021-01-22
Cool Hot Sweet Love,Red Velvet (레드벨벳),2021-01-22
Cornelia Street,Taylor Swift,2021-01-22
It Ain't Me,Kygo & Selena Gomez,2021-01-22
the lakes (bonus track),Taylor Swift,2021-01-22
어른 아이 (Kidult),Seventeen,2021-01-22
Get Cool,Stray Kids,2021-01-22
Easy,Stray Kids,2021-01-22
Mr. E,Red Velvet,2021-01-22
5 YEARS OF TWICE - The Megamix of 80+ Hits (2015-2020),Joseph James,2021-01-22
Smile,Katy Perry,2021-01-22
Round & Round,Selena Gomez & the Scene,2021-01-22
State of Grace,Taylor Swift,2021-01-29
Into You,Ariana Grande,2021-01-29
Pigstep - Stereo Mix,Lena Raine,2021-01-29
Mrs. Potato Head,Melanie Martinez,2021-01-29
Waking Up in Vegas,Katy Perry,2021-01-29
Safe & Sound - from The Hunger Games Soundtrack,Taylor Swift,2021-01-29
De Una Vez,Selena Gomez,2021-01-29
AS IF IT'S YOUR LAST,BLACKPINK,2021-01-29
I Want You to Know,Zedd,2021-01-29
TOUCH,NCT,2021-01-29
Minecraft,C418,2021-01-29
sirena,Gloc-9,2021-01-29
WITHOUT YOU,NCT,2021-01-29
PIRI,Dreamcatcher,2021-01-29
The Boys,Girls' Generation,2021-01-29
Counting Stars,OneRepublic,2021-01-29
Unconditionally,Katy Perry,2021-01-29
Boy,THE BOYZ,2021-01-29
She's So Mean,Matchbox Twenty,2021-01-29
I Got a Boy,소녀시대,2021-01-29
Don't Wanna Cry,Seventeen,2021-01-29
CLOSER,OH MY GIRL,2021-01-29
HUMAN,dodie,2021-01-29
Homesick,Dua Lipa,2021-01-29
Cipher,LEMMiNO,2021-01-29
Dear John,Taylor Swift,2021-02-05
White Horse,Taylor Swift,2021-02-05
Sad Beautiful Tragic,Taylor Swift,2021-02-05
숨바꼭질 (Hide & Seek),이달의 소녀,2021-02-05
Boogie Up,WJSN,2021-02-05
Honeymoon Avenue,Ariana Grande,2021-02-05
Thinking Bout You,Ariana Grande,2021-02-05
YES or YES,TWICE,2021-02-05
달라달라 (DALLA DALLA),ITZY,2021-02-05
Peek-A-Boo,Red Velvet,2021-02-05
Zimzalabim,Red Velvet,2021-02-05
Love Story (Taylor’s Version),Taylor Swift,2021-02-12
GOOD NIGHT,Dreamcatcher,2021-02-12
Panorama,IZ*ONE,2021-02-12
We're Good,Dua Lipa,2021-02-12
Prisoner (feat. Dua Lipa),Miley Cyrus,2021-02-12
PITAPAT (DKDK),fromis_9,2021-02-12
love4eva (feat. Grimes),LOONA/yyxy,2021-02-12
Heart Shaker,TWICE,2021-02-12
Hi High,Loona,2021-02-12
Paper Rings,Taylor Swift,2021-02-12
Love Cherry Motion,Loona,2021-02-12
CHEER UP,TWICE,2021-02-12
My First and Last,NCT DREAM,2021-02-12
Pretty U,Seventeen,2021-02-12
I'll be there,Loona,2021-02-12
My Pace,Stray Kids,2021-02-12
Heart Attack (츄),Loona,2021-02-12
365,이달의 소녀 (Loona),2021-02-12
No Promises (feat. Demi Lovato),Cheat Codes,2021-02-12
Last Love,Red Velvet,2021-02-12
Doin' Time,Lana Del Rey,2021-02-12
everytime,Ariana Grande,2021-02-12
UP NO MORE,TWICE (트와이스),2021-02-12
90's Love,NCT U,2021-02-12
DO WHAT WE LIKE,TWICE (트와이스),2021-02-12
Up,Cardi B,2021-02-19
WAP (feat. Megan Thee Stallion),Cardi B,2021-02-19
We Are Never Ever Getting Back Together,Taylor Swift,2021-02-19
Fergalicious,Fergie,2021-02-19
Love to Hate Me,BLACKPINK,2021-02-19
Gasoline,Haim & Taylor Swift,2021-02-19
Chirp,C418,2021-02-19
Dog,C418,2021-02-19
Swagger Stagger,Lucas Pittman,2021-02-19
Mellohi,C418,2021-02-19
MAGO,GFRIEND,2021-02-19
Love Talk - English Version,WayV,2021-02-19
eight(Prod.&Feat. SUGA of BTS),IU,2021-02-19
Maria,Hwa Sa,2021-02-19
Part of Me,Katy Perry,2021-02-19
ICE AGE,MCND,2021-02-19
Womanizer,Britney Spears,2021-02-19
하드캐리 Hard Carry,GOT7,2021-02-19
좋은걸 뭐 어떡해 What Can I Do,DAY6,2021-02-19
Applause,Lady Gaga,2021-02-19
Like OOH-AHH,TWICE,2021-02-19
STRAWBERRY,TWICE,2021-02-19
Focus,Ariana Grande,2021-02-19
Adios,Everglow,2021-02-19
Grown,Little Mix,2021-02-19
Rose Scent Breeze,Red Velvet,2021-02-26
no body no crime,Taylor Swift HAIM,2021-02-26
Kiss and Make Up,Dua Lipa BLACKPINK,2021-02-26
별생각 (TMT),Stray Kids,2021-02-26
goodnight n go,Ariana Grande,2021-02-26
Mirror,Stray Kids,2021-02-26
GO生 (GO LIVE),Stray Kids,2021-02-26
Astronaut,Stray Kids,2021-02-26
아 진짜요. (Oh really.),N.Flying,2021-02-26
Mary's Song (Oh My My My),Taylor Swift,2021-02-26
Scream & Shout,will.i.am,2021-02-26
Mr.Mr.,소녀시대,2021-02-26
The Moment I Knew,Taylor Swift,2021-02-26
Green Light,Lorde,2021-03-05
Pretty Hurts,Beyoncé,2021-03-05
Stained Glass,Madison Beer,2021-03-05
Red Light,f(x),2021-03-05
Locked Out of Heaven,Bruno Mars,2021-03-05
High by the Beach,Lana Del Rey,2021-03-05
Thunder,Boys Like Girls,2021-03-05
Crying in the Club,Camila Cabello,2021-03-05
Irreplaceable,Beyoncé,2021-03-05
Single Ladies (Put a Ring on It),Beyoncé,2021-03-05
DJ Got Us Fallin' in Love (feat. Pitbull),Usher,2021-03-05
Gasoline (feat. Taylor Swift),HAIM,2021-03-05
GALAXY SUPERNOVA,Girls' Generation,2021-03-05
SUNSET,TWICE,2021-03-05
Selfish Love (with Selena Gomez),DJ Snake,2021-03-05
Baila Conmigo (with Rauw Alejandro),Selena Gomez,2021-03-05
Kings & Queens,Ava Max,2021-03-05
LOVE BOMB,fromis_9,2021-03-05
Blinding Lights,The Weeknd,2021-03-05
Baby,Madison Beer,2021-03-05
BOYSHIT,Madison Beer,2021-03-05
blazed (feat. Pharrell Williams),Ariana Grande,2021-03-05
Channel Surfing / The End,Madison Beer,2021-03-05
Everything Happens for a Reason,Madison Beer,2021-03-05
Emotional Bruises,Madison Beer,2021-03-05
비올레타,IZ*ONE (아이즈원),2021-03-12
Break Your Heart Right Back (feat. Childish Gambino),Ariana Grande,2021-03-12
Tattooed Heart,Ariana Grande,2021-03-12
알 수 없는 비밀 (Sonatine),이달의 소녀 1/3 (LOONA 1/3),2021-03-12
LOVE BOMB,프로미스나인 (fromis_9),2021-03-12
컬러링북 (Coloring Book),오마이걸 (OH MY GIRL),2021-03-12
Oh!,Girls' Generation,2021-03-12
24/7,TWICE (트와이스),2021-03-12
FUN!,프로미스나인 (fromis_9),2021-03-12
Chase Me,Dreamcatcher,2021-03-12
열대야 (Fever),여자친구 (GFriend),2021-03-12
WE LIKE,PRISTIN (프리스틴),2021-03-12
여름비 (SUMMER RAIN),여자친구,2021-03-12
귀를 기울이면 (LOVE WHISPER),여자친구 (GFriend),2021-03-12
Smile Flower,Seventeen,2021-03-19
Uncover (Sung by SEULGI) - Bonus Track,Red Velvet - IRENE & SEULGI,2021-03-19
WHISTLE - Acoustic Ver.,BLACKPINK,2021-03-19
7월 7일 One Of These Nights - Piano Version,Red Velvet,2021-03-19
Little Little,Red Velvet,2021-03-19
AFTER MOON,TWICE,2021-03-19
Ronan,Taylor Swift,2021-03-19
Universe,EXO,2021-03-19
Time for the moon night - Instrumental version,GFRIEND,2021-03-19
Be as ONE - Korean Version,TWICE,2021-03-19
JALJAYO GOOD NIGHT,TWICE,2021-03-19
The Archer,Taylor Swift,2021-03-19
Fire Drill,Melanie Martinez,2021-03-19
Leave the Door Open,Bruno Mars,2021-03-19
Summer Rain,GFRIEND,2021-03-19
LOVE WHISPER,GFRIEND,2021-03-19
Minecraft Pigstep - Remix,FlyxTheKid,2021-03-19
Wait,C418,2021-03-19
Eleven,C418,2021-03-19
Ward,C418,2021-03-19
Strad,C418,2021-03-19
Stal,C418,2021-03-19
Mall,C418,2021-03-19
Far,C418,2021-03-19
Blocks,C418,2021-03-19
Sour Candy (with BLACKPINK),Lady Gaga,2021-03-26
Booty,Jennifer Lopez,2021-03-26
The 7th Sense,NCT U,2021-03-26
Sk8er Boi,Avril Lavigne,2021-03-26
Love Shot,EXO,2021-03-26
Baby Don’t Stop,NCT,2021-03-26
Salute,Little Mix,2021-03-26
Senorita,(G)I-DLE,2021-03-26
WooWa,DIA,2021-03-26
Chaotic,LOOΠΔ / ODD EYE CIRCLE,2021-03-26
Not Shy,ITZY,2021-03-26
Say Amen (Saturday Night),Panic! at the Disco,2021-03-26
BOSS,NCT,2021-03-26
Work,Iggy Azalea,2021-03-26
DON’T CALL ME AGAIN,TWICE,2021-03-26
On The Ground,Rosé,2021-03-26
Bitch I'm Madonna,Madonna,2021-03-26
The Lucky One,Taylor Swift,2021-03-26
willow - dancing witch version (Elvira remix),Taylor Swift,2021-03-26
Lover - First Dance Remix,Taylor Swift,2021-03-26
Begin Again,Taylor Swift,2021-03-26
Treacherous,Taylor Swift,2021-03-26
Love Story (Taylor's Version) - Elvira Remix,Taylor Swift,2021-03-26
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From the Vault),Taylor Swift,2021-03-26
I Almost Do,Taylor Swift,2021-03-26
Bad Things (with Camila Cabello),Machine Gun Kelly,2021-04-02
TO BE OR NOT TO BE,ONEUS,2021-04-02
Don’t Need Your Love,NCT DREAM,2021-04-02
Party in the U.S.A.,Miley Cyrus,2021-04-02
Style,Taylor Swift,2021-04-02
BOCA,Dreamcatcher,2021-04-02
Hellevator,Stray Kids,2021-04-02
Egoist (Olivia Hye),Loona,2021-04-02
Kick It,NCT 127,2021-04-02
favOriTe,Loona,2021-04-02
Side Effects,Stray Kids,2021-04-02
MOVE - X1 Version,X1,2021-04-02
Love Letter,Loona,2021-04-02
FAKE LOVE,BTS,2021-04-02
Confident,Demi Lovato,2021-04-02
중독 (Overdose),EXO-K,2021-04-02
The One That Got Away,Katy Perry,2021-04-02
Burning Up (FIRE),BTS,2021-04-02
Fear,Seventeen,2021-04-02
Chemtrails Over the Country Club,Lana Del Rey,2021-04-02
Follow the White Rabbit,Madison Beer,2021-04-02
Come & Get It,Selena Gomez,2021-04-02
You Belong with Me (Taylor’s Version),Taylor Swift,2021-04-09
White Horse (Taylor’s Version),Taylor Swift,2021-04-09
Hey Stephen (Taylor’s Version),Taylor Swift,2021-04-09
Fifteen (Taylor’s Version),Taylor Swift,2021-04-09
Fearless (Taylor’s Version),Taylor Swift,2021-04-09
Tell Me Why (Taylor’s Version),Taylor Swift,2021-04-09
Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift,2021-04-09
Breathe (Taylor’s Version),Taylor Swift Colbie Caillat,2021-04-09
Wildest Dreams,Taylor Swift,2021-04-09
Bye Bye Baby (Taylor’s Version) (From the Vault),Taylor Swift,2021-04-09
Don’t You (Taylor’s Version) (From the Vault),Taylor Swift,2021-04-09
That’s When (feat. Keith Urban) (Taylor’s Version) (From the Vault),Taylor Swift,2021-04-09
We Were Happy (Taylor’s Version) (From the Vault),Taylor Swift,2021-04-09
Mr. Perfectly Fine (Taylor’s Version) (From the Vault),Taylor Swift,2021-04-09
Today Was a Fairytale (Taylor’s Version),Taylor Swift,2021-04-09
The Other Side of the Door (Taylor’s Version),Taylor Swift,2021-04-09
Superstar (Taylor’s Version),Taylor Swift,2021-04-09
Come in with the Rain (Taylor’s Version),Taylor Swift,2021-04-09
Forever & Always (Piano Version) (Taylor’s Version),Taylor Swift,2021-04-09
Untouchable (Taylor’s Version),Taylor Swift,2021-04-09
Jump Then Fall (Taylor’s Version),Taylor Swift,2021-04-09
Change (Taylor’s Version),Taylor Swift,2021-04-09
The Best Day (Taylor’s Version),Taylor Swift,2021-04-09
Forever & Always (Taylor’s Version),Taylor Swift,2021-04-09
The Way I Loved You (Taylor’s Version),Taylor Swift,2021-04-09
WAP ft. Megan Thee Stallion,Cardi B,2021-04-16
잘자요 굿나잇,TWICE (트와이스),2021-04-16
Typo (YOU NEED TO CALM DOWN REMIX),cupcakKe,2021-04-16
Deepthroat,cupcakKe,2021-04-16
Dark Horse  ft. Juicy J,Katy Perry,2021-04-16
Telephone ft. Beyoncé,Lady Gaga,2021-04-16
False God,Taylor Swift,2021-04-16
Step on Up,Ariana Grande,2021-04-16
Womanizer (Director's Cut),Britney Spears,2021-04-16
911,Lady Gaga,2021-04-16
Break Free (feat. Zedd),Ariana Grande,2021-04-16
You’re Not Sorry (Taylor’s Version),Taylor Swift,2021-04-16
I Gotta Feeling,Black Eyed Peas,2021-04-23
Work,Rihanna,2021-04-23
Rock Bottom,Hailee Steinfeld,2021-04-23
One More Night,Maroon 5,2021-04-23
Airplanes (feat. Hayley Williams),B.o.B,2021-04-23
Roar,Katy Perry,2021-04-23
Timber (feat. Ke$ha),Pitbull,2021-04-23
Worth It (feat. Kid Ink),Fifth Harmony,2021-04-23
DEJAVU,TWICE (트와이스),2021-04-23
널 내게 담아,TWICE (트와이스),2021-04-23
CALL ME BABY,EXO,2021-04-23
Give Me Everything,Pitbull,2021-04-23
This Is Gospel,Panic! at the Disco,2021-04-23
Domino,Jessie J,2021-04-23
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2021-04-23
Better When I'm Dancin',Meghan Trainor,2021-04-23
Let It Go - From Frozen/Soundtrack Version,Idina Menzel,2021-04-23
I'm Yours,Jason Mraz,2021-04-23
Super Bass,Nicki Minaj,2021-04-23
Ride,twenty one pilots,2021-04-23
Only Girl (In the World),Rihanna,2021-04-23
Love You Like a Love Song,Selena Gomez & the Scene,2021-04-23
The Monster,Eminem,2021-04-23
Norman fucking Rockwell,Lana Del Rey,2021-04-23
Treat You Better,Shawn Mendes,2021-04-23
Good Time,Owl City,2021-04-30
Clean,Taylor Swift,2021-04-30
Don't U Wait No More,Red Velvet,2021-04-30
Summer Nights,John Travolta & Olivia Newton-John,2021-04-30
You & I,One Direction,2021-04-30
Lovesick Girls,BLACKPINK,2021-04-30
Pacifying Doll Party - Cesium '23 Odd Group,Melanie Martinez,2021-04-30
I Forgot That You Existed (Piano / Vocal),Taylor Swift,2021-04-30
옥탑방 (Rooftop),N.Flying,2021-04-30
nasty,Ariana Grande,2021-04-30
Orange Juice,Melanie Martinez,2021-04-30
부작용 (Side Effects),Stray Kids,2021-04-30
OMG,Little Mix,2021-04-30
YESTODAY (Extended Ver.) (Bonus Track),NCT U,2021-04-30
TO BE OR NOT TO BE,원어스 (ONEUS),2021-04-30
어린애 (Girls),Nature,2021-04-30
Fool,Red Velvet,2021-04-30
How You Get the Girl,Taylor Swift,2021-04-30
Parade,Red Velvet,2021-04-30
All You Had to Do Was Stay,Taylor Swift,2021-04-30
Welcome to New York,Taylor Swift,2021-04-30
west side,Ariana Grande,2021-04-30
無限的我 (무한적아;Limitless),NCT 127,2021-04-30
Beautiful Ghosts,Taylor Swift,2021-04-30
Grrr 총량의 법칙 (Beware),Stray Kids,2021-04-30
Touchdown,TWICE (트와이스),2021-05-07
Be Alright,Ariana Grande,2021-05-07
Moonlight,Ariana Grande,2021-05-07
My Sunday,LOOΠΔ,2021-05-07
Forever Young,BLACKPINK,2021-05-07
O' My!,IZ*ONE,2021-05-07
Uncover,이달의 소녀 오드아이써클 (LOONA/ODD EYE CIRCLE),2021-05-07
CUPID,오마이걸(OH MY GIRL),2021-05-07
시간을 달려서 (Rough),여자친구 (GFriend),2021-05-07
I’ll be There,LOOΠΔ,2021-05-07
WANT IT?,ITZY (있지),2021-05-07
너 그리고 나 NAVILLERA,GFRIEND,2021-05-07
LIAR LIAR,오마이걸 (OH MY GIRL),2021-05-07
Automatic,Red Velvet (레드벨벳),2021-05-07
Dangerous Woman,Ariana Grande,2021-05-07
NEXT PAGE,TWICE (트와이스),2021-05-07
WINDY DAY,OH MY GIRL,2021-05-07
My Melody,LOOΠΔ,2021-05-07
SWEET TALKER,TWICE (트와이스),2021-05-07
Dance The Night Away,TWICE (트와이스),2021-05-07
JELLY JELLY,TWICE (트와이스),2021-05-07
Sonatine,LOOΠΔ 1/3,2021-05-07
Out of the Woods,Taylor Swift,2021-05-07
Butterfly,Loona,2021-05-07
Guiltless,dodie,2021-05-07
Kura Kura,TWICE,2021-05-14
LLC,Nicki Minaj,2021-05-14
Build A Bitch,Bella Poarch,2021-05-14
good 4 u,Olivia Rodrigo,2021-05-14
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021-05-14
Confetti (feat. Saweetie),Little Mix,2021-05-14
All I Ask,Adele,2021-05-14
Don't Quite Belong (Demo),dodie,2021-05-14
Say So (feat. Nicki Minaj),Doja Cat,2021-05-14
Savage Remix (feat. Beyoncé),Megan Thee Stallion,2021-05-14
XS,Rina Sawayama,2021-05-14
Met Him Last Night (feat. Ariana Grande),Demi Lovato,2021-05-14
In the morning,ITZY,2021-05-14
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2021-05-14
Fractions,Nicki Minaj,2021-05-14
Itty Bitty Piggy,Nicki Minaj,2021-05-14
Tusa,Karol G,2021-05-14
Sorry - Original Demo,Beyoncé,2021-05-14
Formation,Beyoncé,2021-05-14
All Night,Beyoncé,2021-05-14
Freedom (feat. Kendrick Lamar),Beyoncé,2021-05-14
Forward (feat. James Blake),Beyoncé,2021-05-14
Sandcastles,Beyoncé,2021-05-14
Love Drought,Beyoncé,2021-05-14
Daddy Lessons,Beyoncé,2021-05-14
Hell Nos and Headphones,Hailee Steinfeld,2021-05-21
hope ur ok,Olivia Rodrigo,2021-05-21
favorite crime,Olivia Rodrigo,2021-05-21
jealousy jealousy,Olivia Rodrigo,2021-05-21
happier,Olivia Rodrigo,2021-05-21
enough for you,Olivia Rodrigo,2021-05-21
1 step forward 3 steps back,Olivia Rodrigo,2021-05-21
traitor,Olivia Rodrigo,2021-05-21
brutal,Olivia Rodrigo,2021-05-21
Sober,Selena Gomez,2021-05-21
Only You,TWICE,2021-05-21
All These Years,Camila Cabello,2021-05-21
Never Be the Same,Camila Cabello,2021-05-21
Butter,BTS,2021-05-21
YOUNG & WILD,TWICE,2021-05-21
LALALA,TWICE,2021-05-21
SAY YOU LOVE ME,TWICE,2021-05-21
Kura Kura - Instrumental,TWICE,2021-05-21
Strawberry Moon,TWICE,2021-05-21
It’s Nice to Have a Friend,Taylor Swift,2021-05-21
ME! (feat. Brendon Urie of Panic! at the Disco),Taylor Swift,2021-05-21
Afterglow,Taylor Swift,2021-05-21
You Need to Calm Down,Taylor Swift,2021-05-21
Soon You’ll Get Better (feat. The Chicks),Taylor Swift,2021-05-21
DEJAVU,TWICE,2021-05-21
off the table (feat. The Weeknd),Ariana Grande,2021-05-28
Don't Hurt Yourself (feat. Jack White),Beyoncé,2021-05-28
Hold Up,Beyoncé,2021-05-28
Pray You Catch Me,Beyoncé,2021-05-28
The Love Club,Lorde,2021-05-28
Perfect Places,Lorde,2021-05-28
Liability (Reprise),Lorde,2021-05-28
Supercut,Lorde,2021-05-28
Writer in the Dark,Lorde,2021-05-28
Sober II (Melodrama),Lorde,2021-05-28
Hard Feelings/Loveless,Lorde,2021-05-28
Liability,Lorde,2021-05-28
The Louvre,Lorde,2021-05-28
Homemade Dynamite,Lorde,2021-05-28
Sober,Lorde,2021-05-28
deja vu,Olivia Rodrigo,2021-05-28
drivers license,Olivia Rodrigo,2021-05-28
Nectar,WayV,2021-05-28
Star (Voice English Ver.),Loona,2021-05-28
OOPS!,Loona,2021-05-28
Hide & Seek,Loona,2021-05-28
Universe,Loona,2021-05-28
Fall Again,Loona,2021-05-28
Voice,Loona,2021-05-28
Why Not?,Loona,2021-05-28
Problem,Ariana Grande,2021-06-04
Break Free,Ariana Grande,2021-06-04
Love Me Harder,Ariana Grande,2021-06-04
The Elevator Bossa Nova,Bensound,2021-06-04
Hadouken,Lupus Nocte,2021-06-04
Haggstrom,C418,2021-06-04
Mystery Collection - Lonesome Piano,D. Silverstone,2021-06-04
Droopy Likes Your Face,C418,2021-06-04
X-Rated,Ehrling,2021-06-04
Cat,C418,2021-06-04
Howling,Lupus Nocte,2021-06-04
Intro,C418,2021-06-04
Mice on Venus,C418,2021-06-04
Strange Things,Zachary Nelson,2021-06-04
Moog City 2,C418,2021-06-04
Dance With Me,Ehrling,2021-06-04
Subwoofer Lullaby,C418,2021-06-04
Door,C418,2021-06-04
Moog City,C418,2021-06-04
Sweden,C418,2021-06-04
Wet Hands,C418,2021-06-04
April Showers,ProleteR,2021-06-04
Key,C418,2021-06-04
Sthlm Sunset,Ehrling,2021-06-04
Alpha,C418,2021-06-04
Breathe (Taylor’s Version) [feat. Colbie Caillat],Taylor Swift,2021-06-11
'tis the damn season,Taylor Swift,2021-06-11
off the table,Ariana Grande & The Weeknd,2021-06-11
Don’t You (Taylor’s Version) [From The Vault],Taylor Swift,2021-06-11
We Were Happy (Taylor’s Version) [From The Vault],Taylor Swift,2021-06-11
22,Taylor Swift,2021-06-11
Chaotic,이달의 소녀 오드아이써클 (LOONA/ODD EYE CIRCLE),2021-06-11
Come Back... Be Here,Taylor Swift,2021-06-11
열기,Loona,2021-06-18
My Sunday,Loona,2021-06-18
Hard Feelings / Loveless,Lorde,2021-06-18
12:00,Loona,2021-06-18
Spring Flower,Chuu,2021-06-18
As Time Goes 시간은 한 바퀴 돌아,JinSoul,2021-06-18
365,Loona,2021-06-18
Ding Ding Dong,Loona,2021-06-18
Oh (Yes I Am),Loona,2021-06-18
Number 1,Loona,2021-06-18
#,Loona,2021-06-18
Where you at,Loona,2021-06-18
Colors,Loona,2021-06-18
Curiosity,Loona,2021-06-18
Satellite,Loona,2021-06-18
X X,Loona,2021-06-18
Perfect Love,Loona,2021-06-18
+ +,Loona,2021-06-18
rendezvous 18.6y,LOONA/yyxy,2021-06-18
one way,LOONA/yyxy,2021-06-18
frozen,LOONA/yyxy,2021-06-18
Rosy (고원 Olivia Hye),Loona,2021-06-18
See Saw (Chuu Go Won),Loona,2021-06-18
One & Only (Go Won),Loona,2021-06-18
Girl's Talk (이브 츄),Loona,2021-06-18
คนแบบไหน - เพลงประกอบซีรีส์ ปลาบนฟ้า,มิกซ์ สหภาพ,2021-06-25
ข้างๆ - เพลงประกอบซีรีส์ ปลาบนฟ้า,หลุยส์ ธณวิน,2021-06-25
I Need Only You (Chez Remix),Love Beans,2021-06-25
My Oxygen (Original Television Soundtrack),Supanut Lourhaphanich,2021-06-25
คั่นกู - เพลงประกอบซีรีส์ เพราะเราคู่กัน,Bright Vachirawit,2021-06-25
นิทานพันดาว (ทอฝัน Version) - เพลงประกอบซีรีส์ นิทานพันดาว,อ้าย สรัลชนา,2021-06-25
นิทานพันดาว - เพลงประกอบซีรีส์ นิทานพันดาว,Napat Injaiuea,2021-06-25
Innocent,Taylor Swift,2021-06-25
Royals,Lorde,2021-06-25
Fight Song,Rachel Platten,2021-06-25
First Time,TWICE,2021-06-25
Alcohol-Free,TWICE,2021-06-25
Jai Ho! (You Are My Destiny),A.R. Rahman,2021-06-25
ติดกับ - เพลงประกอบซีรีส์ เพราะเราคู่กัน,Max Jenmana,2021-06-25
Wings - Korean Version,Little Mix,2021-06-25
Girlfriend - Japanese Version - Explicit Version,Avril Lavigne,2021-06-25
หลุดพ้น (เพลงประกอบละคร The Gifted นักเรียนพลังกิฟต์),คิว สุวีระ บุญรอด,2021-06-25
Kiss Me More (feat. SZA),Doja Cat,2021-06-25
Alone,Doja Cat,2021-06-25
Imagine,Doja Cat,2021-06-25
Ain't Shit,Doja Cat,2021-06-25
Options (feat. JID),Doja Cat,2021-06-25
Been Like This,Doja Cat,2021-06-25
You Right,Doja Cat,2021-06-25
Love to Dream,Doja Cat,2021-06-25
Body,Megan Thee Stallion,2021-07-02
I Love You Jesus,Trisha Paytas,2021-07-02
PTT (Paint the Town),Loona,2021-07-02
Circles,Megan Thee Stallion,2021-07-02
Thot Shit,Megan Thee Stallion,2021-07-02
Renegade (feat. Taylor Swift),Big Red Machine,2021-07-02
Perfect World,TWICE,2021-07-02
Conversation,TWICE,2021-07-02
Scandal,TWICE,2021-07-02
Black Widow,Iggy Azalea,2021-07-02
What About Us,The Saturdays,2021-07-02
C'mon,Kesha,2021-07-02
We Can't Stop,Miley Cyrus,2021-07-02
Lola,Iggy Azalea,2021-07-02
Don’t Stop (feat. Young Thug),Megan Thee Stallion,2021-07-02
Girls in the Hood,Megan Thee Stallion,2021-07-02
Outside,Megan Thee Stallion,2021-07-02
Don’t Rock Me to Sleep,Megan Thee Stallion,2021-07-02
Go Crazy (feat. Big Sean & 2 Chainz),Megan Thee Stallion,2021-07-02
Intercourse (feat. Popcaan & Mustard),Megan Thee Stallion,2021-07-02
Work That,Megan Thee Stallion,2021-07-02
What’s New,Megan Thee Stallion,2021-07-02
Freaky Girls (feat. SZA),Megan Thee Stallion,2021-07-02
Movie (feat. Lil Durk),Megan Thee Stallion,2021-07-02
